alg,quality,p,dataset,kind,order,bpbit,H_p,gap_abs,gap_pct
brotli,8,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.469230,0.286397,0.182833,63.84
brotli,8,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.148602,0.080793,0.067808,83.93
brotli,9,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.140374,0.080793,0.059581,73.75
brotli,9,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.457303,0.286397,0.170906,59.67
brotli,9,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.705766,0.468996,0.236770,50.48
brotli,9,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.007785,0.721928,0.285857,39.60
brotli,9,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.162918,0.881291,0.281627,31.96
brotli,9,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.221658,0.970951,0.250707,25.82
brotli,9,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.220496,1.000000,0.220496,22.05
brotli,9,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.221592,0.970951,0.250641,25.81
brotli,9,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.007886,0.721928,0.285958,39.61
brotli,9,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.705991,0.468996,0.236996,50.53
brotli,9,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.457291,0.286397,0.170894,59.67
brotli,9,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.140491,0.080793,0.059698,73.89
brotli,10,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.150440,0.080793,0.069647,86.20
brotli,10,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.374950,0.286397,0.088553,30.92
