alg,quality,p,dataset,kind,order,bpbit,H_p,gap_abs,gap_pct
lz4,8,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.208083,0.080793,0.127290,157.55
lz4,9,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.194230,0.080793,0.113437,140.40
lz4,9,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.693887,0.286397,0.407490,142.28
lz4,9,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.114586,0.468996,0.645591,137.65
lz4,9,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.615000,0.721928,0.893072,123.71
lz4,9,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.869134,0.881291,0.987843,112.09
lz4,9,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,2.007151,0.970951,1.036201,106.72
lz4,9,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,2.061255,1.000000,1.061255,106.13
lz4,9,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,2.007159,0.970951,1.036209,106.72
lz4,9,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.615147,0.721928,0.893219,123.73
lz4,9,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.114130,0.468996,0.645135,137.56
lz4,9,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.694186,0.286397,0.407789,142.39
lz4,9,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.194151,0.080793,0.113358,140.31
lz4,10,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.218591,0.080793,0.137798,170.56
lz4,10,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.717398,0.286397,0.431001,150.49
lz4,10,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.133922,0.468996,0.664926,141.78
lz4,10,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.577136,0.721928,0.855208,118.46
lz4,10,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.857026,0.881291,0.975736,110.72
lz4,10,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,2.045254,0.970951,1.074303,110.64
lz4,10,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,2.112378,1.000000,1.112378,111.24
lz4,10,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,2.045790,0.970951,1.074839,110.70
lz4,10,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.577037,0.721928,0.855109,118.45
lz4,10,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.134138,0.468996,0.665142,141.82
lz4,10,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.718074,0.286397,0.431677,150.73
lz4,10,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.218507,0.080793,0.137714,170.45
lz4,11,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.178650,0.080793,0.097857,121.12
lz4,11,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.614036,0.286397,0.327639,114.40
lz4,11,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.977410,0.468996,0.508414,108.40
lz4,11,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.368837,0.721928,0.646909,89.61
lz4,11,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.559454,0.881291,0.678164,76.95
lz4,11,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.702681,0.970951,0.731730,75.36
lz4,11,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.758844,1.000000,0.758844,75.88
lz4,11,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.702986,0.970951,0.732036,75.39
lz4,11,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.368586,0.721928,0.646658,89.57
lz4,11,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.977593,0.468996,0.508597,108.44
lz4,11,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.614262,0.286397,0.327865,114.48
lz4,11,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.178807,0.080793,0.098014,121.31
lz4,12,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.162398,0.080793,0.081604,101.00
lz4,12,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.546076,0.286397,0.259679,90.67
lz4,12,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.869886,0.468996,0.400891,85.48
lz4,12,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.240531,0.721928,0.518603,71.84
