dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,comp_MiB_s,decomp_time_s,decomp_MB_s,decomp_MiB_s,repeats,env_python,env_platform,env_brotli
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 2}",1012500,578634,0.5714903703703703,4.5719229629629625,4.490224518375472,1.8194734863068385,0.0055751000181771815,181.6110915855899,173.1976849629149,0.0040555999730713665,249.6547999612542,238.08916633701756,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 2}",1012500,609885,0.6023555555555555,4.818844444444444,4.738380001040223,1.6981424745705604,0.004408100037835538,229.69079451680432,219.0500234334786,0.0036830000462941825,274.91175326450855,262.1760533390623,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 3}",1012500,563472,0.5565155555555555,4.452124444444444,4.346993003886087,2.4184865368859003,0.00964509998448193,104.9755836257808,100.11243202647398,0.0037403999594971538,270.6929769446679,258.1527181694237,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 3}",1012500,575652,0.5685451851851852,4.548361481481481,4.490224518375472,1.294745126175625,0.007392800005618483,136.9575802443602,130.61281461031635,0.0036834999918937683,274.87444067549774,262.14046931178603,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 3}",1012500,609301,0.6017787654320987,4.81423012345679,4.738380001040223,1.6007606481522199,0.0061872000223957,163.64429731301257,156.06322942362414,0.0034933999995701015,289.8322551453021,276.4053405575711,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 4}",1012500,568800,0.5617777777777778,4.494222222222223,4.346993003886087,3.386920986634129,0.020405300019774586,49.61946156237819,47.32076547020843,0.003466000023763627,292.12348328277164,278.59042410983085,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 4}",1012500,577028,0.5699041975308642,4.5592335802469135,4.490224518375472,1.5368733030839303,0.01354790001641959,74.73482966163647,71.27262641551276,0.0032697999849915504,309.65196790243925,295.3068753492846,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 4}",1012500,609408,0.6018844444444444,4.8150755555555556,4.738380001040223,1.618602866348735,0.00794600002700463,127.42260213428138,121.51955868404252,0.003074500011280179,329.32183974148336,314.06551082851763,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 5}",1012500,601692,0.5942637037037037,4.75410962962963,4.346993003886087,9.365476902759953,0.05958970001665875,16.991191425983818,16.20404896005607,0.004668699984904379,216.86979314879608,206.82297421276027,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 5}",1012500,610498,0.6029609876543209,4.8236879012345675,4.490224518375472,7.426430048084545,0.058617299946490675,17.273057628452175,16.47285728729307,0.0044445000239647925,227.80965115099312,217.25602685982608,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 5}",1012500,624946,0.6172306172839506,4.9378449382716045,4.738380001040223,4.209559748006543,0.05402650003088638,18.740803113678737,17.872607258159835,0.003773899981752038,268.2900990741004,255.86115722566504,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 6}",1012500,604570,0.5971061728395062,4.776849382716049,4.346993003886087,9.88859145725983,0.08204810001188889,12.340322321336963,11.768638352930495,0.004545799980405718,222.73307324657807,212.41462905255503,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
